client_id,cluster
124710,0
382440,0
1311915,0
1958756,2
1958794,1
2244567,0
3471574,0
3480197,1
3504229,1
3602085,0
3819120,0
3828427,0
4995187,0
5923027,1
6367191,1
6523974,0
6541846,0
7803101,1
7974539,1
7975881,1
8459363,2
8462955,2
8517346,2
8531669,2
8587599,1
9768798,2
9821191,1
10196639,0
10452661,2
10512583,1
10732769,0
10815474,0
12247110,0
12428037,0
12778784,1
12823865,0
13367401,0
13370667,1
13770250,0
13879346,1
14171345,0
14880507,0
15683930,0
15837530,1
15880658,2
17307116,0
17506596,1
17719983,1
17789096,0
17905291,0
18628394,0
18758357,1
18786653,0
18934694,0
19200638,0
19630095,0
19845134,1
20185503,0
20226595,1
21110073,0
21123043,0
21185381,1
21240313,0
21429959,0
21461457,0
21590881,0
21777679,0
21823171,2
22015034,1
22094564,1
22217620,0
22611800,0
22615489,0
22638306,0
23541378,0
23786181,1
24053808,0
24061477,0
24653992,1
25049147,0
25059981,0
25266521,2
25611028,1
25615951,0
25845497,1
26133654,0
26852516,0
27031864,1
27265780,1
27666691,1
27901601,2
28412177,0
28513020,1
28714908,0
29132235,0
29668847,2
29773100,1
29964521,0
30009294,1
30539190,0
30547052,0
30562959,2
30838820,0
31098074,1
31527663,1
31649144,0
31742809,2
32014111,1
32048997,1
32338804,0
33344800,0
33958371,1
34398443,0
34888858,1
34959054,0
35205726,0
35348543,0
35577406,0
36554757,1
36563509,2
36567967,2
36730113,0
36735978,0
36914142,2
37064242,0
37096530,0
37573679,1
37718082,0
37844201,0
38139016,2
38148078,0
38334603,1
38866352,0
40465646,1
40742385,1
40919289,1
41550453,0
41609006,1
41624868,0
41642983,1
41706877,2
42421684,0
42487183,0
42772181,0
42794127,0
42920702,0
42930977,1
43163964,1
43961237,0
44081511,2
44368172,0
44692571,1
45096675,2
45541349,0
45628981,1
45748565,0
45794606,0
46433287,0
46495513,1
46518518,0
47255401,1
47584486,0
47595728,0
47634912,0
47823560,0
47934661,0
48265581,1
48845560,1
48980898,0
49041300,0
49606246,0
50324257,0
50873242,0
51673879,0
52603250,0
53001142,0
53012945,0
53310970,0
54190372,1
54847567,0
55044040,1
55498399,0
55743609,0
55885616,1
55912006,2
56890180,1
57208298,0
57283088,0
57833173,0
57923026,0
58201772,0
59067879,2
59216182,1
59848904,0
60094691,1
60676709,1
60723885,1
60792945,0
60929478,0
61004486,0
61036363,0
61541370,0
61883813,0
62017478,0
62793991,0
63009567,1
63138938,1
64486204,0
64885093,0
65054992,1
65085118,0
65708417,1
65731284,1
66164837,0
66389720,0
66650507,0
66653566,1
66658678,1
66698580,0
67072818,0
67128725,1
67760444,2
67958339,0
69404401,0
69890428,0
70046286,0
70327407,1
70427200,0
71239356,0
71841206,1
71847200,0
72726759,0
73195574,2
73301211,1
73947807,1
74303232,0
74930182,1
74956236,0
75260780,2
75392243,0
75433872,0
75844361,1
76319918,2
76566238,2
77600800,0
78330934,0
78555176,0
79141655,0
80966481,0
81196630,2
81263472,1
81583189,0
81645261,0
82267287,1
82520016,0
83326485,1
83347470,0
83537397,0
83688040,0
83696376,0
83723116,0
83964620,0
84274226,1
84360034,0
84876789,1
84879378,0
85542364,2
85961109,2
86043733,0
86133348,2
86282061,0
86393386,0
86501315,2
86898093,2
87186769,0
87223756,0
87710768,0
87981737,0
88114427,2
88231055,1
88241934,0
88709921,1
88932981,0
89175476,0
89584267,0
89787541,1
89909131,0
89944747,1
90097288,0
90468602,0
90606687,1
90654010,1
90693212,0
91030930,1
91333677,1
92400457,0
92542355,0
92583279,0
92737619,1
92935040,0
