client_id,cluster
76154,2
292032,2
513675,1
514314,1
517104,2
686732,2
793938,0
883949,0
1054469,2
1115690,0
1183290,2
1219681,2
1275852,2
1385187,2
1577762,1
1592427,2
1599091,1
1768831,2
1884045,0
1980198,0
2002912,0
2019133,0
2249303,0
2435846,2
2544949,1
2551142,0
3181498,0
3234739,1
3286504,2
3427952,0
3507733,2
3668670,2
3762659,2
4094883,0
4333830,0
4374728,2
4432615,2
4436809,2
4515883,2
4624675,2
5258598,0
5505284,0
5864974,2
6214431,2
6425895,2
6528170,0
6904781,2
6934412,2
6978995,0
7227838,2
7240053,2
7261633,2
7279885,2
7406218,2
7571168,2
7597804,2
7616064,0
7705181,0
7891890,0
7911843,0
7917347,0
8058487,0
8118853,2
8235355,0
8243709,2
8264055,0
8397765,2
8424996,0
8437280,1
8808264,1
8840310,2
9032481,0
9056233,0
9065165,1
9075144,2
9080669,1
9217354,1
9301041,0
9387878,2
9539325,2
9706160,0
10038926,2
10064285,2
10071157,0
10092560,2
10260516,2
10262207,0
10331826,2
10358051,2
10544116,2
10578381,2
10633237,2
10642917,0
10812976,2
11017781,2
11146439,2
11186945,2
11577201,1
11752819,2
11874990,0
11915137,2
11987850,2
12168091,2
12324132,0
12436605,2
12443291,1
12521331,1
12547800,0
12563020,2
12582372,2
13095909,2
13301062,2
13305512,2
13382276,0
13504903,2
13511937,2
13537172,2
13697322,0
13775402,2
13832518,2
13880233,2
13891323,0
13899727,2
13997598,2
14023304,2
14081565,1
14272492,0
14407617,1
14413478,2
14672044,2
14782430,2
14784007,2
14832384,2
15117400,2
15233177,2
15277101,2
15367861,2
15776670,2
15792378,1
15803481,2
15840516,1
15905511,2
15910530,2
15987155,2
16105567,2
16108231,0
16453894,1
16533620,2
16562718,0
16567000,1
16612618,2
16741082,2
16760985,2
16780918,2
16924581,0
16985447,0
17015986,2
17080014,1
17190590,2
17254894,2
17378423,0
17518783,0
17537553,0
17701081,0
17897069,2
17974943,2
18246697,1
18290449,1
18381420,1
18475015,0
18651872,0
18764145,2
18807027,2
18815406,0
18912200,2
18923074,2
19188944,2
19322725,0
19454257,0
19489970,2
19728778,2
19836709,1
19897758,2
19927333,2
19964538,0
20022185,2
20075053,0
20089937,2
20126062,2
20127755,2
20313324,1
20322506,2
20394084,2
20507937,2
20549807,2
20583055,0
20634417,0
20829540,0
21056289,2
21105505,2
21168380,0
21599261,0
21836400,0
21844104,2
21848739,2
21898142,2
21933541,0
22085028,2
22117627,2
22541289,1
22642068,0
22835154,0
22845395,2
22863416,2
22915376,2
23010070,1
23129053,0
23168755,0
23242083,2
23385548,0
23416024,2
23533095,2
23539519,2
23618302,2
23720775,2
23874759,2
24308281,2
24494682,0
24958958,2
25088741,2
25235610,1
25263978,0
25283005,0
25557437,2
25603507,2
25619521,0
25665682,2
25769878,0
25850095,2
26009918,0
26381264,2
26503348,0
26615323,0
26625301,0
26644136,0
26928517,0
26998041,2
27132678,2
27141485,2
27190645,1
27453738,0
27481284,2
27534233,0
27847691,2
27857781,2
27921297,2
28035315,2
28207032,1
28227691,2
28235053,2
28258487,0
28428620,2
28592847,2
28737495,1
28754249,1
28763238,0
28926123,2
28942537,2
29052743,0
29132622,2
29162802,1
29302814,0
29324633,1
29332068,1
29348785,2
29475023,0
29645076,2
29766814,2
29880393,2
29946031,2
30132785,2
30154232,1
30351276,2
30377346,2
30448892,0
30562336,2
30597754,2
30632771,2
30636778,0
30643140,2
30676429,2
30808578,2
30814488,2
30994542,2
31076413,2
31112257,1
31124208,2
31126385,2
